player_id,player,college,conference,years,games_played,completions,passes_attempted,passing_yards,passing_touchdowns,interceptions,passer_rating,rushing_attempts,rushing_yards,rushing_touchdowns,wins,losses,highest_rank,conference_wins,conference_losses,points_for,points_against,years_missing,height,weight
2025_0,Brady Cook,Missouri,SEC,4,35.0,572.0,852.0,6716.0,39.0,13.0,163.25,284.0,1039.0,16.0,28,21,8,17,17,1391,1361,0,74,207
2025_1,Cade Klubnik,Clemson,ACC,2,23.0,351.0,554.0,3541.0,21.0,12.0,123.19999999999999,167.0,321.0,6.0,20,7,4,13,4,853,566,0,74,205
2025_2,Cameron Ward,Miami (FL),Pac-12,2,25.0,643.0,982.0,6968.0,48.0,16.0,138.05,227.0,202.0,13.0,12,13,13,6,12,719,635,0,74,223
2025_3,Carson Beck,Georgia,SEC,4,26.0,338.0,475.0,4427.0,30.0,8.0,118.35,72.0,174.0,4.0,50,4,1,33,4,2080,786,0,76,215
2025_4,D.J. Uiagalelei,Florida St.,Pac-12,4,48.0,695.0,1176.0,8319.0,57.0,24.0,133.775,343.0,1132.0,21.0,39,13,1,29,7,1743,1025,0,76,250
2025_5,Dillon Gabriel,Oregon,Big 12,5,50.0,1050.0,1664.0,14865.0,125.0,26.0,159.7,349.0,1060.0,26.0,41,21,5,26,16,2370,1645,0,72,200
2025_6,Garrett Greene,West Virginia,Big 12,4,34.0,209.0,385.0,3070.0,21.0,7.0,124.575,218.0,1394.0,22.0,26,22,999,17,18,1369,1250,0,70,193
2025_7,Haynes King,Georgia Tech,ACC,4,23.0,354.0,593.0,4421.0,37.0,26.0,150.39999999999998,161.0,887.0,11.0,29,18,4,19,14,1355,1045,0,75,200
2025_8,Jalen Milroe,Alabama,SEC,3,25.0,221.0,344.0,3172.0,29.0,9.0,145.6,207.0,851.0,13.0,36,6,1,23,4,1608,804,0,74,201
2025_9,Jalon Daniels,Kansas,Big 12,4,25.0,365.0,574.0,4297.0,31.0,12.0,141.8,210.0,602.0,13.0,17,30,19,9,26,1306,1726,0,72,203
2025_10,Jaxson Dart,Ole Miss,SEC,3,32.0,576.0,909.0,7691.0,52.0,21.0,146.16666666666666,269.0,1046.0,11.0,23,15,7,13,12,1235,1006,0,74,215
2025_11,K.J. Jefferson,Central Florida,SEC,5,44.0,626.0,962.0,7911.0,67.0,18.0,138.98000000000002,523.0,1876.0,21.0,25,35,8,11,31,1658,1822,0,75,245
2025_12,Kyle McCord,Syracuse,Big Ten,3,24.0,270.0,406.0,3776.0,27.0,8.0,167.5,44.0,-77.0,0.0,33,6,2,24,3,1566,715,0,75,210
2025_13,Kyron Drones,Virginia Tech,ACC,3,20.0,180.0,308.0,2304.0,18.0,4.0,94.60000000000001,174.0,867.0,7.0,25,15,5,17,10,1245,916,0,74,222
2025_14,Noah Fifita,Arizona,Pac-12,2,15.0,250.0,352.0,2997.0,26.0,6.0,143.6,38.0,-33.0,0.0,15,10,11,10,8,820,712,0,70,194
2025_15,Quinn Ewers,Texas,Big 12,3,23.0,444.0,690.0,5656.0,37.0,12.0,97.06666666666666,83.0,23.0,6.0,31,9,2,23,5,1543,842,0,75,206
2025_16,Riley Leonard,Notre Dame,Ind,3,27.0,382.0,619.0,4450.0,24.0,10.0,123.5,229.0,1224.0,19.0,20,18,16,0,0,1051,1011,0,76,205
2025_17,Seth Henigan,Memphis,American,3,37.0,838.0,1314.0,10764.0,79.0,25.0,148.43333333333334,320.0,708.0,9.0,23,15,999,12,12,1332,1063,0,75,200
2025_18,Shedeur Sanders,Colorado,Pac-12,1,11.0,298.0,430.0,3230.0,27.0,3.0,151.7,111.0,-77.0,4.0,4,8,18,1,8,338,418,0,74,215
2025_19,Thomas Castellanos,Boston Col.,ACC,2,18.0,198.0,346.0,2323.0,15.0,14.0,108.3,229.0,1233.0,14.0,16,11,17,9,8,783,699,0,70,196
2025_20,Will Howard,Ohio State,Big 12,4,34.0,458.0,779.0,5786.0,48.0,25.0,128.4,226.0,921.0,19.0,31,19,11,22,15,1558,1174,0,76,235
