feature,VIF
college,4.641178184305529
conference,3.9708453416440674
years,649.780580523863
games_played,123.91668079511781
completions,477.34829857739305
passes_attempted,654.5409468743994
passing_yards,369.9306420040571
passing_touchdowns,69.62738141562663
interceptions,24.468263557270213
passer_rating,35.11660978399909
rushing_attempts,41.88783886814579
rushing_yards,15.667586416127339
rushing_touchdowns,17.75421975783186
wins,409.3187780779762
losses,229.07462730231094
highest_rank,1.8869660737715148
conference_wins,33.06331433071761
conference_losses,22.973067251548578
points_for,252.35086819625343
points_against,150.06689051331247
height,1439.9804064023149
weight,743.5568708725673
age,484.38023990116085
