player_id,player,college,conference,years,games_played,completions,passes_attempted,passing_yards,passing_touchdowns,interceptions,passer_rating,rushing_attempts,rushing_yards,rushing_touchdowns,wins,losses,highest_rank,conference_wins,conference_losses,points_for,points_against,years_missing
2021-1,Trevor Lawrence,Clemson,ACC,3,40.0,758,1138,10098,90,17,164.49999999999997,231,943,18,0,0,1,0,0,1845,642,0
2021-2,Zach Wilson,BYU,Ind,3,30.0,566,837,7652,56,15,161.46666666666667,212,642,15,0,0,8,0,0,1246,793,0
2021-3,Trey Lance,North Dakota St.,,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,4
2021-11,Justin Fields,Ohio St.,Big Ten,3,34.0,423,618,5701,67,9,176.9,260,1133,19,0,0,2,0,0,1514,667,0
2021-15,Mac Jones,Alabama,SEC,3,39.0,413,556,6126,56,7,177.73333333333335,54,42,2,0,0,1,0,0,1928,765,0
2021-64,Kyle Trask,Florida,SEC,4,29.0,552,813,7386,69,15,119.15,132,54,8,0,0,3,0,0,1676,1049,0
2021-66,Kellen Mond,Texas A&M,SEC,4,47.0,801,1358,9661,71,27,130.45,438,1608,22,0,0,4,0,0,1603,1238,0
2021-67,Davis Mills,Stanford,Pac-12,3,14.0,287,438,3468,18,8,94.90000000000002,63,86,3,0,0,7,0,0,805,846,0
2021-133,Ian Book,Notre Dame,Ind,5,48.0,728,1141,8948,72,20,113.34,360,1518,17,0,0,2,0,0,2103,1319,0
2021-218,Sam Ehlinger,Texas,Big 12,4,46.0,923,1476,11436,94,27,143.35,554,1907,33,0,0,6,0,0,1703,1280,0
